| Image | Real N | Calculated N | Sensor sigma |
|{{thumb{[img[foo|files/2011-08-11/n-side/test000.png][files/2011-08-11/n-side/test000.png]]}}} | 4 | 4 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test001.png][files/2011-08-11/n-side/test001.png]]}}} | 3 | 3 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test002.png][files/2011-08-11/n-side/test002.png]]}}} | 3 | 3 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test003.png][files/2011-08-11/n-side/test003.png]]}}} | 5 | 3 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test004.png][files/2011-08-11/n-side/test004.png]]}}} | 4 | 4 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test005.png][files/2011-08-11/n-side/test005.png]]}}} | 5 | 5 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test006.png][files/2011-08-11/n-side/test006.png]]}}} | 5 | 4 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test007.png][files/2011-08-11/n-side/test007.png]]}}} | 3 | 3 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test008.png][files/2011-08-11/n-side/test008.png]]}}} | 5 | 5 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test009.png][files/2011-08-11/n-side/test009.png]]}}} | 3 | 3 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test010.png][files/2011-08-11/n-side/test010.png]]}}} | 3 | 4 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test011.png][files/2011-08-11/n-side/test011.png]]}}} | 4 | 3 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test012.png][files/2011-08-11/n-side/test012.png]]}}} | 3 | 3 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test013.png][files/2011-08-11/n-side/test013.png]]}}} | 6 | 3 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test014.png][files/2011-08-11/n-side/test014.png]]}}} | 3 | 3 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test015.png][files/2011-08-11/n-side/test015.png]]}}} | 4 | 4 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test016.png][files/2011-08-11/n-side/test016.png]]}}} | 6 | 4 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test017.png][files/2011-08-11/n-side/test017.png]]}}} | 3 | 3 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test018.png][files/2011-08-11/n-side/test018.png]]}}} | 5 | 4 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test019.png][files/2011-08-11/n-side/test019.png]]}}} | 6 | 3 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test020.png][files/2011-08-11/n-side/test020.png]]}}} | 4 | 3 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test021.png][files/2011-08-11/n-side/test021.png]]}}} | 5 | 3 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test022.png][files/2011-08-11/n-side/test022.png]]}}} | 4 | 3 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test023.png][files/2011-08-11/n-side/test023.png]]}}} | 3 | 3 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test024.png][files/2011-08-11/n-side/test024.png]]}}} | 6 | 5 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test025.png][files/2011-08-11/n-side/test025.png]]}}} | 4 | 4 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test026.png][files/2011-08-11/n-side/test026.png]]}}} | 3 | 4 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test027.png][files/2011-08-11/n-side/test027.png]]}}} | 3 | 3 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test028.png][files/2011-08-11/n-side/test028.png]]}}} | 6 | 4 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test029.png][files/2011-08-11/n-side/test029.png]]}}} | 3 | 3 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test030.png][files/2011-08-11/n-side/test030.png]]}}} | 4 | 3 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test031.png][files/2011-08-11/n-side/test031.png]]}}} | 4 | 3 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test032.png][files/2011-08-11/n-side/test032.png]]}}} | 4 | 4 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test033.png][files/2011-08-11/n-side/test033.png]]}}} | 4 | 3 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test034.png][files/2011-08-11/n-side/test034.png]]}}} | 3 | 3 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test035.png][files/2011-08-11/n-side/test035.png]]}}} | 5 | 4 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test036.png][files/2011-08-11/n-side/test036.png]]}}} | 4 | 3 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test037.png][files/2011-08-11/n-side/test037.png]]}}} | 6 | 4 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test038.png][files/2011-08-11/n-side/test038.png]]}}} | 6 | 4 | 0.05 |
|{{thumb{[img[foo|files/2011-08-11/n-side/test039.png][files/2011-08-11/n-side/test039.png]]}}} | 5 | 4 | 0.05 |
